service_id,date,exception_type
RM00100005_203RM001,20170128,1
RM00100005_203RM002,20170128,1
RM00100005_203RM003,20170128,1
RM00100005_203RM004,20170128,1
RM00100005_203RM005,20170128,1
RM00100005_203RM006,20170128,1
RM00100005_203RM007,20170128,1
RM00100005_203RM008,20170128,1
RM00100007_100RM001,20170102,1
RM00100007_100RM002,20170102,1
RM00100007_100RM003,20170102,1
RM00100007_100RM004,20170102,1
RM00100007_100RM005,20170102,1
RM00100007_100RM001,20170103,1
RM00100007_100RM002,20170103,1
RM00100007_100RM003,20170103,1
RM00100007_100RM004,20170103,1
RM00100007_100RM005,20170103,1
RM00100007_100RM001,20170104,1
RM00100007_100RM002,20170104,1
RM00100007_100RM003,20170104,1
RM00100007_100RM004,20170104,1
RM00100007_100RM005,20170104,1
RM00100007_100RM001,20170105,1
RM00100007_100RM002,20170105,1
RM00100007_100RM003,20170105,1
RM00100007_100RM004,20170105,1
RM00100007_100RM005,20170105,1
RM00100007_100RM001,20170106,1
RM00100007_100RM002,20170106,1
RM00100007_100RM003,20170106,1
RM00100007_100RM004,20170106,1
RM00100007_100RM005,20170106,1
RM00100007_100RM001,20170109,1
RM00100007_100RM002,20170109,1
RM00100007_100RM003,20170109,1
RM00100007_100RM004,20170109,1
RM00100007_100RM005,20170109,1
RM00100007_100RM001,20170110,1
RM00100007_100RM002,20170110,1
RM00100007_100RM003,20170110,1
RM00100007_100RM004,20170110,1
RM00100007_100RM005,20170110,1
RM00100007_100RM001,20170111,1
RM00100007_100RM002,20170111,1
RM00100007_100RM003,20170111,1
RM00100007_100RM004,20170111,1
RM00100007_100RM005,20170111,1
RM00100007_100RM001,20170112,1
RM00100007_100RM002,20170112,1
RM00100007_100RM003,20170112,1
RM00100007_100RM004,20170112,1
RM00100007_100RM005,20170112,1
RM00100007_100RM001,20170113,1
RM00100007_100RM002,20170113,1
RM00100007_100RM003,20170113,1
RM00100007_100RM004,20170113,1
RM00100007_100RM005,20170113,1
RM00100007_100RM001,20170116,1
RM00100007_100RM002,20170116,1
RM00100007_100RM003,20170116,1
RM00100007_100RM004,20170116,1
RM00100007_100RM005,20170116,1
RM00100007_100RM001,20170117,1
RM00100007_100RM002,20170117,1
RM00100007_100RM003,20170117,1
RM00100007_100RM004,20170117,1
RM00100007_100RM005,20170117,1
RM00100007_100RM001,20170118,1
RM00100007_100RM002,20170118,1
RM00100007_100RM003,20170118,1
RM00100007_100RM004,20170118,1
RM00100007_100RM005,20170118,1
RM00100007_100RM001,20170119,1
RM00100007_100RM002,20170119,1
RM00100007_100RM003,20170119,1
RM00100007_100RM004,20170119,1
RM00100007_100RM005,20170119,1
RM00100007_100RM001,20170120,1
RM00100007_100RM002,20170120,1
RM00100007_100RM003,20170120,1
RM00100007_100RM004,20170120,1
RM00100007_100RM005,20170120,1
RM00100007_100RM001,20170123,1
RM00100007_100RM002,20170123,1
RM00100007_100RM003,20170123,1
RM00100007_100RM004,20170123,1
RM00100007_100RM005,20170123,1
RM00100007_100RM001,20170124,1
RM00100007_100RM002,20170124,1
RM00100007_100RM003,20170124,1
RM00100007_100RM004,20170124,1
RM00100007_100RM005,20170124,1
RM00100007_100RM001,20170125,1
RM00100007_100RM002,20170125,1
RM00100007_100RM003,20170125,1
RM00100007_100RM004,20170125,1
RM00100007_100RM005,20170125,1
RM00100007_100RM001,20170126,1
RM00100007_100RM002,20170126,1
RM00100007_100RM003,20170126,1
RM00100007_100RM004,20170126,1
RM00100007_100RM005,20170126,1
RM00100007_100RM001,20170127,1
RM00100007_100RM002,20170127,1
RM00100007_100RM003,20170127,1
RM00100007_100RM004,20170127,1
RM00100007_100RM005,20170127,1
RM00100007_100RM001,20170130,1
RM00100007_100RM002,20170130,1
RM00100007_100RM003,20170130,1
RM00100007_100RM004,20170130,1
RM00100007_100RM005,20170130,1
RM00100007_100RM001,20170131,1
RM00100007_100RM002,20170131,1
RM00100007_100RM003,20170131,1
RM00100007_100RM004,20170131,1
RM00100007_100RM005,20170131,1
RM00100010_102RM001,20170107,1
RM00100010_102RM002,20170107,1
RM00100010_102RM003,20170107,1
RM00100010_102RM004,20170107,1
RM00100010_102RM001,20170114,1
RM00100010_102RM002,20170114,1
RM00100010_102RM003,20170114,1
RM00100010_102RM004,20170114,1
RM00100010_102RM001,20170121,1
RM00100010_102RM002,20170121,1
RM00100010_102RM003,20170121,1
RM00100010_102RM004,20170121,1
RM00100010_102RM001,20170128,1
RM00100010_102RM002,20170128,1
RM00100010_102RM003,20170128,1
RM00100010_102RM004,20170128,1
RM00100011_149RM001,20170107,1
RM00100011_149RM002,20170107,1
RM00100011_149RM003,20170107,1
RM00100011_149RM004,20170107,1
RM00100011_149RM005,20170107,1
RM00100011_149RM006,20170107,1
RM00100011_149RM001,20170114,1
RM00100011_149RM002,20170114,1
RM00100011_149RM003,20170114,1
RM00100011_149RM004,20170114,1
RM00100011_149RM005,20170114,1
RM00100011_149RM006,20170114,1
RM00100011_149RM001,20170121,1
RM00100011_149RM002,20170121,1
RM00100011_149RM003,20170121,1
RM00100011_149RM004,20170121,1
RM00100011_149RM005,20170121,1
RM00100011_149RM006,20170121,1
RM00100011_149RM001,20170128,1
RM00100011_149RM002,20170128,1
RM00100011_149RM003,20170128,1
RM00100011_149RM004,20170128,1
RM00100011_149RM005,20170128,1
RM00100011_149RM006,20170128,1
RM00100014_106RM001,20170102,1
RM00100014_106RM002,20170102,1
RM00100014_106RM003,20170102,1
RM00100014_106RM001,20170103,1
RM00100014_106RM002,20170103,1
RM00100014_106RM003,20170103,1
RM00100014_106RM001,20170104,1
RM00100014_106RM002,20170104,1
RM00100014_106RM003,20170104,1
RM00100014_106RM001,20170105,1
RM00100014_106RM002,20170105,1
RM00100014_106RM003,20170105,1
RM00100014_106RM001,20170106,1
RM00100014_106RM002,20170106,1
RM00100014_106RM003,20170106,1
RM00100014_106RM001,20170109,1
RM00100014_106RM002,20170109,1
RM00100014_106RM003,20170109,1
RM00100014_106RM001,20170110,1
RM00100014_106RM002,20170110,1
RM00100014_106RM003,20170110,1
RM00100014_106RM001,20170111,1
RM00100014_106RM002,20170111,1
RM00100014_106RM003,20170111,1
RM00100014_106RM001,20170112,1
RM00100014_106RM002,20170112,1
RM00100014_106RM003,20170112,1
RM00100014_106RM001,20170113,1
RM00100014_106RM002,20170113,1
RM00100014_106RM003,20170113,1
RM00100014_106RM001,20170116,1
RM00100014_106RM002,20170116,1
RM00100014_106RM003,20170116,1
RM00100014_106RM001,20170117,1
RM00100014_106RM002,20170117,1
RM00100014_106RM003,20170117,1
RM00100014_106RM001,20170118,1
RM00100014_106RM002,20170118,1
RM00100014_106RM003,20170118,1
RM00100014_106RM001,20170119,1
RM00100014_106RM002,20170119,1
RM00100014_106RM003,20170119,1
RM00100014_106RM001,20170120,1
RM00100014_106RM002,20170120,1
RM00100014_106RM003,20170120,1
RM00100014_106RM001,20170123,1
RM00100014_106RM002,20170123,1
RM00100014_106RM003,20170123,1
RM00100014_106RM001,20170124,1
RM00100014_106RM002,20170124,1
RM00100014_106RM003,20170124,1
RM00100014_106RM001,20170125,1
RM00100014_106RM002,20170125,1
