route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
138,6,1974,1974: JARDIM ATLÂNTICO	,,3,,,
139,6,1975,1975: AMPARO (BACURAU)	,,3,,,
140,6,1977,1977: TI PELÓPIDAS (CONDE BOA VISTA)	,,3,,,
141,6,1978,1978: LOT CONCEIÇÃO / RIO DOCE (PE-22)	,,3,,,
142,6,1980,1980: IGARASSU / CIDADE TABAJARA	,,3,,,
143,6,1981,1981: RIO DOCE (CONDE BOA VISTA)	,,3,,,
144,6,1982,1982: CONJUNTO BEIRA MAR / DERBY	,,3,,,
146,6,1983,1983: RIO DOCE (PRINCESA ISABEL)	,,3,,,
148,6,1956,1956: IGARASSU (BACURAU)	,,3,,,
149,6,1984,1984: LOT. BONFIM / TI ABREU E LIMA,,3,,,
151,6,1985,1985: RIO DOCE (BACURAU)	,,3,,,
152,6, 1986,(EXTINTA) 1986: RIO DOCE / DERBY,,3,,,
153,6,1987,1987: RIO DOCE (PRÍNCIPE)	,,3,,,
154,6, 1988,(EXTINTA) 1988: DESTERRO / TI PELÓPIDAS,,3,,,
155,6, 1958,(EXTINTA) 1958: COSTA AZUL,,3,,,
156,6, 1989,(EXTINTA) 1989: LOT. PLANALTO / T.I. PELÓPIDAS,,3,,,
157,6,1990,1990: PAU AMARELO / VARADOURO	,,3,,,
158,6,1993,1993: CONJUNTO PRAIA DO JANGA	,,3,,,
159,6,1992,1992: PAU AMARELO	,,3,,,
160,6,1994,1994: CONJUNTO BEIRA MAR	,,3,,,
161,6,1995,1995: PAU AMARELO (BACURAU)	,,3,,,
162,6,1996,1996: ARTHUR LUNDGREN II / RIO DOCE (PARATIBE)	,,3,,,
163,6, 1998,(EXTINTA) 1998: CAETÉS III / T.I. PELÓPIDAS,,3,,,
164,3,164,LINHA TESTE TUV,,3,,,
165,6,1957,1957: CAETES I (BACURAU)	,,3,,,
166,8,032,032: SETÚBAL (CONDE DA BOA VISTA),,3,,,
167,9,330,330: CASA AMARELA / CDU,,3,,,
168,9,511,511: ALTO DO MANDU,,3,,,
169,9,516,516: CASA AMARELA (NOVA TORRE)	,,3,,,
170,9,520,520: MACAXEIRA / PARNAMIRIM	,,3,,,
171,9,521,521: ALTO SANTA ISABEL	,,3,,,
174,9,522,522: DOIS IRMÃOS (RUI BARBOSA)	,,3,,,
175,9,523,523: DOIS IRMÃOS (BACURAU)	,,3,,,
176,9,524,524: SÍTIO DOS PINTOS (DOIS IRMÃOS)	,,3,,,
177,9,527,527: SÍTIO DOS PINTOS / IMIP (JOANA BEZERRA)	,,3,,,
178,9,531,531: CASA AMARELA (ROSA E SILVA)	,,3,,,
179,9,532,532: CASA AMARELA (CABUGÁ)	,,3,,,
180,9,533,533: CASA AMARELA (BACURAU)	,,3,,,
181,9,902,902: MIRUEIRA / MACAXEIRA	,,3,,,
182,9,930,930: RIO DOCE / DOIS IRMÃOS	,,3,,,
183,9,948,948: ARTHUR LUNDGREN II / MACAXEIRA	,,3,,,
184,1,184,Etra Config_Linea,,3,,,
185,6,1907,1907: PAULISTA / RIO DOCE,,3,,,
186,6,1918,1918: IGARASSU (CIRCULAR),,3,,,
187,8,020,020: CANDEIAS / TI TANCREDO NEVES,,3,,,
188,6,1955,1955: ENGENHO MARANGUAPE / TI PELÓPIDAS,,3,,,
189,8,070,070: CANDEIAS / SHOPPING RIO MAR,,3,,,
190,8,071,071: CANDEIAS,,3,,,
195,9,518,518: APIPUCOS / RIO MAR (Opcional) (EXTINTA),,3,,,
198,10,111,111: PINHEIROS,,3,,,
203,10,103,103: UR11 / BARRO,,3,,,
204,10,110,110: IBURA / IPSEP,,3,,,
206,10,115,115: TI AEROPORTO / TI AFOGADOS,,3,,,
207,10,118,118: PRAZERES / BOA VIAGEM,,3,,,
208,10,120,120: IPSEP / SHOPPING RECIFE,,3,,,
209,10,121,121: VILA DA SUDENE ,,3,,,
210,11,189,189: Cabo/Porto de Suape,,3,,,
211,10,122,122 : VILA DO IPSEP,,3,,,
212,10,212,(EXTINTA) 216: TI BARRO / TI CAJUEIRO SECO,,3,,,
213,10,206,206: TI BARRO / TI PRAZERES (JORDÃO),,3,,,
214,10,191,191: RECIFE / PORTO DE GALINHAS (Nossa Senhora do Ó),,3,,,
216,10,123,123: TRÊS CARNEIROS BAIXO / TI TANCREDO NEVES,,3,,,
217,10,125,125: CÓRREGO DA GAMELEIRA / TI TANCREDO NEVES,,3,,,
218,10,126,126: UR-03 / TI TANCREDO NEVES,,3,,,
219,10,131,131: UR-02 (BACURAU) ,,3,,,
220,10,132,132: UR-02 (IBURA ) / TI TANCREDO NEVES,,3,,,
221,10,133,133: TRÊS CARNEIROS / TI TANCREDO NEVES,,3,,,
222,10,137,137:  UR-11 / TI TANCREDO NEVES,,3,,,
223,10,141,141: JARDIM MONTE VERDE / TI TANCREDO NEVES,,3,,,
224,10,142,142: ALTO DOIS CARNEIROS / TI TANCREDO NEVES,,3,,,
225,10,143,143: UR-06 / TI TANCREDO NEVES,,3,,,
226,7,226,(EXTINTA) 411: PARQUE SANTANA/ILHA DO LEITE,,3,,,
227,10,145,145: ALTO DOIS CARNEIROS (BACURAU),,3,,,
228,10,228,164:  MARCOS FREIRE / TI CAJUEIRO SECO,,3,,,
229,10,165,165:	MURIBECA DOS GUARARAPES / TI CAJUEIRO SECO,,3,,,
230,10,166,166: TI CAJUEIRO SECO (Rua do Sol),,3,,,
231,10,170,170: MURIBECA DOS GUARARAPES (BACURAU),,3,,,
232,10,167,167: TI TANCREDO NEVES (IMIP),,3,,,
233,10,154,154: JORDÃO (BACURAU),,3,,,
234,10,134,134: LAGOA ENCANTADA/TI TANCREDO NEVES,,3,,,
235,10,136,136: UR-05 / TI TANCREDO NEVES,,3,,,
236,10,168,168: TI TANCREDO NEVES (Conde da Boa Vista),,3,,,
237,10,155,155: JORDÃO BAIXO / BOA VIAGEM,,3,,,
238,10,146,146: UR-11 (BACURAU),,3,,,
239,10,135,135: UR-10 / TI TANCREDO NEVES,,3,,,
240,16,240,240: CAVALEIRO / CEASA ,,3,,,
241,16,320,320: CURADO I / WERNECK (VIA TOTÓ),,3,,,
242,16,303,303: CURADO II / CAXANGÁ (BR-232),,3,,,
243,10,190,190: UR-11 / IPSEP,,3,,,
244,10,152,152: JORDÃO BAIXO / TI AEROPORTO,,3,,,
245,10,214,214: UR-02 / IBURA (OPCIONAL),,3,,,
246,10,151,151: JARDIM JORDÃO /  TI AEROPORTO,,3,,,
