stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone
708,20009,20009,Parada,-8.10308051125116,-34.9108999992258,,,,,America/Recife
709,20010,20010,Parada,-8.10721939608676,-34.9117277771645,,,,,America/Recife
710,20011,20011,Parada,-8.10931105992973,-34.9121277775039,,,,,America/Recife
711,20012,20012,Parada,-8.11178884428062,-34.9126305550798,,,,,America/Recife
712,20013,20013,Parada,-8.11440272704049,-34.9131499993806,,,,,America/Recife
713,20014,20014,Parada,-8.1166943943478,-34.9135666660196,,,,,America/Recife
714,20015,20015,Parada,-8.12053884018985,-34.9143083325035,,,,,America/Recife
715,20016,20016,Parada,-8.12468884016819,-34.9151027772274,,,,,America/Recife
716,20017,20017,Parada,-8.12753884290012,-34.9155972212996,,,,,America/Recife
717,20018,20018,Parada,-8.13338051064845,-34.916608332733,,,,,America/Recife
7529,PA95152,DESEMBARQUE 01 - TI Aeroporto,Parada,-8.13437274360808,-34.9148390865433,,,,,America/Recife
7530,PA95153,DESEMBARQUE 02 - TI Aeroporto,Parada,-8.13409261915517,-34.914810539018,,,,,America/Recife
5690,180001,180001,Parada,-8.06858884087065,-34.8844694437231,,,,,America/Recife
5772,180088,180088,Parada,-8.05597217594181,-34.8807416659901,,,,,America/Recife
5776,180092,180092,Parada,-8.05333328470445,-34.8851166664128,,,,,America/Recife
5777,180093,180093,Parada,-8.05232423162978,-34.8865741659161,,,,,America/Recife
5778,180094,180094,Parada,-8.05132773273592,-34.8879805552414,,,,,America/Recife
5779,180095,180095,Parada,-8.05031939675648,-34.8884499995686,,,,,America/Recife
5746,180061,180061,Parada,-8.04802002777893,-34.888202420856,,,,,America/Recife
5805,180125,180125,Parada,-8.05004161776151,-34.8900722217501,,,,,America/Recife
5806,180126,180126,Parada,-8.05211106236864,-34.8900499995263,,,,,America/Recife
5807,180127,180127,Parada,-8.05395550645492,-34.8898694436647,,,,,America/Recife
5808,180128,180128,Parada,-8.05574955661328,-34.8879853821386,,,,,America/Recife
5809,180129,180129,Parada,-8.05692039802505,-34.8859115454544,,,,,America/Recife
5810,180130,180130,Parada,-8.05733328740332,-34.8851888879083,,,,,America/Recife
5812,180132,180132,Parada,-8.05901106115795,-34.8808194439211,,,,,America/Recife
5813,180133,180133,Parada,-8.06111662402714,-34.8794138885844,,,,,America/Recife
7680,PA19919,EMBARQUE 05 - TI Recife,Parada,-8.06938612009454,-34.8853966756529,,,,,America/Recife
5709,180020,180020,Parada,-8.07244439920722,-34.8806361102888,,,,,America/Recife
5720,180031,180031,Parada,-8.06446225099312,-34.8762999301334,,,,,America/Recife
7260,PA19589,180038,Parada,-8.06162601651508,-34.8733547768909,,,,,America/Recife
5727,180040,180040,Parada,-8.05862217283216,-34.8723861102772,,,,,America/Recife
6925,PA180041,180041,Parada,-8.05476705331812,-34.8718362368026,,,,,America/Recife
3424,110027,110027,Parada,-8.04911383927222,-34.8747444440832,,,,,America/Recife
5794,180112,180112,Parada,-8.03907337419361,-34.8708334207623,,,,,America/Recife
5795,180113,180113,Parada,-8.0386138380591,-34.8704555547167,,,,,America/Recife
5797,180115,180115,Parada,-8.03916939850997,-34.8710833331706,,,,,America/Recife
6921,PA180120,180120,Parada,-8.05025768538099,-34.8789848085948,,,,,America/Recife
5802,180121,180121,Parada,-8.05182662616139,-34.8801153138704,,,,,America/Recife
3396,100500,100500,Parada,-8.05343884631355,-34.8813138887786,,,,,America/Recife
5765,180081,180081,Parada,-8.05581313443159,-34.8826832911099,,,,,America/Recife
5766,180082,180082,Parada,-8.05660550493647,-34.8829888879047,,,,,America/Recife
7342,PA19653,180518,Parada,-8.05829338083211,-34.8820306539775,,,,,America/Recife
6994,PA01053,180227,Parada,-8.05942610491228,-34.8803003782593,,,,,America/Recife
5815,180135,180135,Parada,-8.06138606260305,-34.8796416665008,,,,,America/Recife
7403,PA95055,180519,Parada,-8.06699653175219,-34.882871371215,,,,,America/Recife
5825,180145,180145,Parada,-8.06846743537875,-34.8837948453842,,,,,America/Recife
955,20254,20254,Parada,-8.10593883835325,-34.9540583324345,,,,,America/Recife
956,20255,20255,Parada,-8.1082888380208,-34.9524277771833,,,,,America/Recife
958,20257,20257,Parada,-8.10922217351365,-34.953208332561,,,,,America/Recife
951,20250,20250,Parada,-8.10909995268383,-34.9538972216543,,,,,America/Recife
950,20249,20249,Parada,-8.11294990791082,-34.9517627778764,,,,,America/Recife
928,20230,20230,Parada,-8.1147999539463,-34.9513999997514,,,,,America/Recife
929,20231,20231,Parada,-8.11525550691026,-34.9503083324224,,,,,America/Recife
921,20223,20223,Parada,-8.11533328334121,-34.9483972220042,,,,,America/Recife
930,20232,20232,Parada,-8.11536384295045,-34.9477277775977,,,,,America/Recife
911,20213,20213,Parada,-8.11630273271306,-34.9470638886392,,,,,America/Recife
931,20233,20233,Parada,-8.11862772832608,-34.9462249994894,,,,,America/Recife
873,20175,20175,Parada,-8.11902495511627,-34.9427194442151,,,,,America/Recife
1004,20303,20303,Parada,-8.11719161868609,-34.9425944434657,,,,,America/Recife
6253,190160,190160,Parada,-8.11160551152157,-34.9457999998547,,,,,America/Recife
6254,190161,190161,Parada,-8.1084055117405,-34.9472138887425,,,,,America/Recife
6255,190162,190162,Parada,-8.105719392528,-34.9485722217427,,,,,America/Recife
6256,190163,190163,Parada,-8.09613328269226,-34.9491916663079,,,,,America/Recife
7544,PA95164,EMBARQUE 05 - TI Barro,Parada,-8.08796535834761,-34.9458433688213,,,,,America/Recife
6133,190039,190039,Parada,-8.09625828227765,-34.9497277768327,,,,,America/Recife
6134,190040,190040,Parada,-8.09810828087685,-34.9503222212659,,,,,America/Recife
6135,190041,190041,Parada,-8.10204161593478,-34.9489361100777,,,,,America/Recife
6136,190042,190042,Parada,-8.10625550494204,-34.948752777041,,,,,America/Recife
6138,190044,190044,Parada,-8.11461939934933,-34.9449833329603,,,,,America/Recife
6139,190045,190045,Parada,-8.11730828907039,-34.9439666664996,,,,,America/Recife
983,20282,20282,Parada,-8.12076939438454,-34.9435111101387,,,,,America/Recife
909,20211,20211,Parada,-8.11765828420134,-34.9465916659789,,,,,America/Recife
910,20212,20212,Parada,-8.11581105868926,-34.9471111108378,,,,,America/Recife
7675,PA19914,020223,Parada,-8.115236549295,-34.948490458608,,,,,America/Recife
922,20224,20224,Parada,-8.11428606597503,-34.9495944436294,,,,,America/Recife
923,20225,20225,Parada,-8.11178884197938,-34.9500666662285,,,,,America/Recife
924,20226,20226,Parada,-8.11080142187092,-34.9502622200435,,,,,America/Recife
925,20227,20227,Parada,-8.1106416200589,-34.9516861100697,,,,,America/Recife
963,20262,20262,Parada,-8.1122749481136,-34.9534111105107,,,,,America/Recife
